3.0, ?, 9, 7, 12, 7, 15, 17, 8, 5, 5, 5, ?, ?, 6, 6, 6, 6, 50, 89, 3, 13, 2, 20, 1, 1, 2, 2, 8, 8, 14, 2, 5
?, ?, 8, 7, 11, 7, 15, 17, 7, 5, 5, 5, ?, ?, 5, 6, 5, 6, 49, 88, 2, 12, 2, 20, 1, 1, 1, 1, 8, 8, 14, 1, 4
?, ?, 7, 7, 10, 7, 15, 17, 6, 5, 5, 5, ?, ?, 5, 6, 5, 6, 48, 88, 1, 13, 1, 19, 1, 1, 1, 1, 8, 8, 14, 1, 3
6.0, 1.0, 9, 7, 12, 7, 14, 16, 8, 5, 4, 4, 3.0, 3.75, 4, 5, 4, 5, 47, 87, 3, 13, 2, 20, 0, 1, 0, 0, 7, 7, 13, 0, 2
2.0, ?, 9, 7, 12, 7, 15, 17, 8, 5, 5, 5, ?, ?, 6, 6, 3, 6, 46, 86, 3, 13, 2, 18, 1, 1, 0, 0, 6, 7, 12, 0, 2
?, ?, 7, 7, 10, 7, 15, 17, 6, 5, 5, 5, ?, ?, 5, 6, 5, 6, 48, 88, 1, 13, 1, 19, 1, 1, 1, 1, 8, 8, 14, 1, 4
6.0, 1.0, 9, 7, 12, 7, 13, 15, 8, 5, 3, 3, 4.0, 4.2, 4, 5, 4, 5, 47, 85, 3, 13, 2, 20, 0, 1, 2, 0, 8, 8, 14, 2, 2
6.0, 1.0, 9, 7, 12, 7, 12, 14, 8, 5, 2, 4, 0.5, 2.20339, 6, 4, 4, 5, 47, 84, 3, 13, 2, 20, 0, 1, 0, 0, 5, 7, 13, 0, 2
0.0, 131.0, 9, 7, 12, 7, 15, 13, 8, 5, 5, 2, ?, 12.418011, 4, 4, 2, 4, 47, 83, 3, 13, 2, 20, 0, 1, 0, 0, 4, 6, 13, 0, 4
?, ?, 8, 7, 11, 7, 15, 17, 7, 5, 5, 5, ?, ?, 5, 6, 5, 6, 49, 88, 2, 12, 2, 20, 1, 1, 1, 1, 8, 8, 14, 1, 4
?, ?, 7, 7, 10, 7, 15, 17, 6, 5, 5, 5, ?, ?, 5, 6, 5, 6, 48, 88, 1, 13, 1, 19, 1, 1, 1, 1, 8, 8, 14, 1, 3
